Name,Property Title,Price,Location,Total_Area,Price_per_SQFT,Description,Baths,Balcony
Casagrand ECR 14,"4 BHK Flat for sale in Kanathur Reddikuppam, Chennai",₹1.99 Cr,"Kanathur Reddikuppam, Chennai",2583,7700.0,"Best 4 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 4 BHK property for sale in one of Chennai's top location, Kanathur Reddikuppam. It is situated on floor 13. The total number of floors in this Apartment is 14. The property price of this unit is Rs 1.99 Cr. The built-up area is 2583 Square feet. There are 4 bedrooms and 4 bathroom. It is an ideal location for young families with kids, as this property is close to Mount Litera Zee School, OMR, Chennai, Amelio Early Education - Siruseri, and Chennai Mathematical Institute. H...",4,Yes
"Ramanathan Nagar, Pozhichalur,Chennai","10 BHK Independent House for sale in Pozhichalur, Chennai",₹2.25 Cr,"Ramanathan Nagar, Pozhichalur,Chennai",7000,3210.0,"Looking for a 10 BHK Independent House for sale in Chennai? Your search ends here. Buy this 10 BHK property in Chennai's finest location, Pozhichalur. This is an owner listed property and there is no brokerage involved. This Independent House is available at a reasonable price of Rs 2.25 Cr. Maintenance charges in this property is Rs 2000. The built up area of this property is 7000 Square feet. It is spacious for a family and this property has a carpet area of 500 Square feet. There are 10 bedrooms and 9 bathroom. There are a number of reputed schools in the vicinity such as Peace On Green Ear...",6,Yes
DAC Prapthi,"3 BHK Flat for sale in West Tambaram, Chennai",₹1.0 Cr,"Kasthuribai Nagar, West Tambaram,Chennai",1320,7580.0,"Property for sale in Tambaram, Chennai. This 3 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 1. The total number of floors in this building is 2. This Apartment's price is Rs 1.0 Cr. The built-up area is 1320 Square feet. The property has 3 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Hindu Mission Hospital, Annai Arul Hospital, and Kasthuri Hospital. Schools like INNOVATION ACADEMY, T.I.M.E. Kids Preschool- Tambaram...",3,No
"Naveenilaya,Chepauk, Triplicane,Chennai","7 BHK Independent House for sale in Triplicane, Chennai",₹3.33 Cr,"Naveenilaya,Chepauk, Triplicane,Chennai",4250,7840.0,"Entire Building for sale with 7 units of single bedroom and 2 units of double bed room with ground floor Parking with Rental Yield of 1,50,000/- More About This Property 7 BHK Independent House for sale in Chennai. This property is in Triplicane, which is a coveted investment location. This tastefully designed 7 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 7 BHK property is posted directly by Owner. Contact now for more details. The price of the Independent House is Rs 3.33 Cr. Monthly maintenance charges come to Rs 3000. It is best suited for al...",5,Yes
VGN Spring Field Phase 1,"2 BHK Flat for sale in Avadi, Chennai",₹48.0 L,"Avadi, Chennai",960,5000.0,"Property for sale in Avadi, Chennai. This 2 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 1. The total number of floors in this building is 2. This Apartment's price is Rs 48.0 L. The built-up area is 960 Square feet. The property has 2 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as PG Women & Child Clinic (OLD)-Paediatrician(Child Specialist) & Gynaecologist in Avadi, Sri Sudharsanam Hospital, and Bohra Eye Hospital. ...",3,Yes
KG Earth Homes,"2 BHK Flat for sale in Siruseri, Chennai",₹40.0 L,"Siruseri, Chennai",940,4250.0,"Price negotiable. Big hall, big balcony, gated community, gym, pool, CCP, 24x7 power supply, security, lift, play area. More About This Property 2 BHK Apartment for sale in Thalambur, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Thalambur which is a promising investment destination in Chennai. This might be your chance to grab the best 2 BHK property for sale in Thalambur. The property is on floor 4 and the total number of floors is 4. This 2 BHK Apartment is available at a reasonable price of Rs 40.0 L. Reside...",3,No
"THIRAN FLATS ,Gowrivakkam, Sembakkam,Chennai","2 BHK Flat for sale in Sembakkam, Chennai",₹60.0 L,"THIRAN FLATS ,Gowrivakkam, Sembakkam,Chennai",880,6820.0,"2 BHK Apartment for sale in Chennai. This property is in Sembakkam, which is a coveted investment location. This tastefully designed 2 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Chennai is on floor 1. The total number of floors in this Apartment is 3. The price of the Apartment is Rs 60.0 L. Monthly maintenance charges come to Rs 500. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 880 Square feet. I...",3,Yes
TK Jasmine Grove,"3 BHK Independent House for sale in Mahindra World City, Chennai",₹72.35 L,"Mahindra World City, Chennai",1700,4250.0,"A 3 BHK Independent House for sale in Mahindra World City, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Mahindra World City's most desired properties. Contact now for more information. The price of this Independent House is Rs 72.35 L. Maintenance charges come to Rs 1700. Each unit has a built-up area of 1700 Square feet. The carpet area is 1500 Square feet. There are 3 bedrooms. There is provision for 3 bathroom. This residential property is near Vikas Mantra Public School, Vidhyasagar Happyskool, and GLEAMS K...",3,Yes
Avenue,"2 BHK Flat for sale in West Tambaram, Chennai",₹42.0 L,"Brindavan Colony, West Tambaram,Chennai",840,5000.0,"Check out this 2 BHK Apartment for sale in Tambaram, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Tambaram is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 0. The total number of floors in this project is 2. The property's price is Rs 42.0 L. Residents in this property pay Rs 500 towards maintenance. This property is a modern-day abode, with 840 Square feet built-up area. The unit has 2 bedro...",3,No
Guru Kothai Aparts,"1 BHK Flat for sale in Chromepet, Chennai",₹30.0 L,"New Colony, Chromepet,Chennai",535,5610.0,"We are the proud owners of this 1 bhk apartment available in Guru kothai apartment , chromepet, chennai south. Property Is located in the Heart place of Chrompet , New Colony Exactly Back Side of Ananda Thirumana Wedding Hall and a 10 minutes Walk To Biggest Cinema Theatre In Chrompet Vetri Theaters . And The property is very near to Railway station and Bus Stop is located very Near and For Shopping Super Saravana Stores is Located Near By the Property  , This Semifurnished apartment is a exactly 24 year old property . This Property Has the  best  resale value and a ready to move in apartment....",2,No
Mahindra Lifespaces Aqualilly Flexi Homes,"1 BHK Flat for sale in Mahindra World City, Chennai",₹29.4 L,"Mahindra World City, Chennai",581,5060.0,"A 1 BHK Apartment for sale in Mahindra World City, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 1 BHK unit with all the modern-day comforts is one of Mahindra World City's most desired properties. Contact now for more information. This 1 BHK unit is on floor 5. There are 7 floors in this property. The price of this Apartment is Rs 28.3 L. Maintenance charges come to Rs 1700. Each unit has a built-up area of 581 Square feet. The carpet area is 357 Square feet. There are 1 bedroom. There is provision for 1 bathroom. This residential property is near Government Schoo...",2,Yes
DRA 90 Degrees,"3 BHK Flat for sale in Pallikaranai, Chennai",₹1.3 Cr,"Rose Avenue, Pallikaranai,Chennai",1444,9000.0,"Looking for a 3 BHK Apartment for sale in Chennai? Your search ends here. Buy this 3 BHK property in Chennai's finest location, Pallikaranai. This is an owner listed property and there is no brokerage involved. It is on floor 4 out of 11 floors. This Apartment is available at a reasonable price of Rs 1.3 Cr. Maintenance charges in this property is Rs 6500. The built up area of this property is 1444 Square feet. There are 3 bedrooms and 3 bathroom. The Apartment has lift facility. It is a thoroughly safe premise with cctv facility. Other facilities include amenities like Gym, Garden, Sports Fac...",3,No
"Ramakrishna Puram, West Mambalam,Chennai","6 BHK Villa for sale in West Mambalam, Chennai",₹8.5 Cr,"Ramakrishna Puram, West Mambalam,Chennai",6000,14170.0,"Looking for a 6 BHK Villa for sale in Chennai? Your search ends here. Buy this 6 BHK property in Chennai's finest location, West Mambalam. This is an owner listed property and there is no brokerage involved. This Villa is available at a reasonable price of Rs 8.5 Cr. Maintenance charges in this property is Rs 2000. The built up area of this property is 6000 Square feet. There are 6 bedrooms and 6 bathroom. There are a number of reputed schools in the vicinity such as Chennais Amirta International Institute Of Hotel Management, Padma Seshadri Bala Bhavan Senior Secondary School, and Hindu Vidhy...",1,Yes
"Deepak home,Mettuppalayam, Ashok Nagar,Chennai","2 BHK Flat for sale in Ashok Nagar, Chennai",₹1.15 Cr,"Deepak home,Mettuppalayam, Ashok Nagar,Chennai",878,13100.0,"13a,4th Street, Ragavan colony, Ashok Nagar, Chennai-83 (near to r6 police station) More About This Property A 2 BHK Apartment for sale in Ashok Nagar, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Ashok Nagar's most desired properties. Contact now for more information. This 2 BHK unit is on floor 3. There are 3 floors in this property. The price of this Apartment is Rs 1.15 Cr. Maintenance charges come to Rs 1000. Each unit has a built-up area of 878 Square feet. The carpet area is 672 Square feet. This South-f...",3,Yes
"Chimaera Apartments,Madambakkam, Chennai","2 BHK Flat for sale in Madambakkam, Chennai",₹49.0 L,"Chimaera Apartments,Madambakkam, Chennai",944,5190.0,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Chennai's top location, Madambakkam. It is situated on floor 1. The total number of floors in this Apartment is 2. The property price of this unit is Rs 49.0 L. Monthly maintenance costs Rs 750. The carpet area of this unit is 650 Square feet. The built-up area is 944 Square feet. There are 2 bedrooms and 2 bathroom. It is an ideal location for young families with kids, as this property is close to KVN Vethathiri Matric School, St.John's M...",3,No
